jj	Sesso	gem	disoccupati	dis1564
2000	F	52	20.70797491	20.70797491
2000	F	53	3.0794524781	3.0794524781
2000	F	54	26.968879001	26.968879001
2000	F	55	8.6197132616	8.6197132616
2000	F	56	56.031442343	56.031442343
2000	F	57	12.359044	12.359044
2000	F	58	11.306139538	11.306139538
2000	F	59	21.193384625	21.193384625
2000	F	60	17.624107033	17.285397355
2000	F	61	19.59642195	19.59642195
2000	F	62	34.081596836	34.081596836
2000	F	63	8.8703466815	8.8703466815
2000	F	64	3.9670127302	3.9670127302
2000	F	65	4.9608422939	4.9608422939
2000	F	66	7.9238382153	7.9238382153
2000	F	67	15.347518848	15.347518848
2000	F	68	7.2609782474	7.2609782474
2000	F	69	0.4408602151	0.4408602151
2000	F	70	28.468980967	28.468980967
2000	F	71	25.956226054	25.956226054
2000	F	72	18.779789272	18.779789272
2000	F	73	13.222228402	13.222228402
2000	F	74	24.257078853	24.257078853
2000	F	75	3.3859566185	3.3859566185
2000	F	76	11.775525275	11.775525275
2000	F	77	29.123297491	29.123297491
2000	F	79	10.071879249	10.071879249
2000	F	80	54.268857372	54.268857372
2000	F	81	26.516512174	26.516512174
2000	F	82	20.400052527	20.400052527
2000	F	83	34.67856569	34.67856569
2000	F	84	14.71975343	14.71975343
2000	F	85	10.091308244	10.091308244
2000	F	86	47.51071252	47.51071252
2000	F	87	43.546137684	43.546137684
2000	F	88	16.30461933	16.30461933
2000	F	89	18.547537387	18.547537387
2000	F	91	13.639154616	13.639154616
2000	F	92	27.3569429	27.3569429
2000	F	93	27.01323075	27.01323075
2000	F	94	5.914454332	5.914454332
2000	F	95	11.054752194	10.909590903
2000	F	96	7.7172382895	7.7172382895
2000	F	97	13.158469287	13.158469287
2000	F	98	17.412381041	17.412381041
2000	F	99	16.941354592	16.941354592
2000	F	100	6.8450655049	6.8450655049
2000	F	101	32.203389569	32.203389569
2000	F	102	4.8726764306	4.8726764306
2000	F	103	3.2002688172	3.2002688172
2000	F	104	29.309492028	29.309492028
2000	F	105	4.7543350637	4.7543350637
2000	F	106	26.170862687	26.170862687
2000	F	107	16.973825856	16.973825856
2000	F	108	79.609411692	78.105703868
2000	F	109	21.159285008	21.159285008
2000	F	110	18.007502163	18.007502163
